record started at: 10-08-19 04:43:02

file format version: 4
captureMode: Offline
eye resolution: 320x240 
scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
3787 3787 29.96 0:00:02:06.244/600 0:00:02:06.224/600 299.12 303.63 192.64 122.70 -1000.00 -1000.00 37.00 41.00 
3788 3788 29.96 0:00:02:06.264/600 0:00:02:06.244/600 299.49 303.39 192.53 122.64 -1000.00 -1000.00 40.00 41.00 
3789 3789 29.96 0:00:02:06.284/600 0:00:02:06.264/600 302.05 300.13 191.71 121.86 -1000.00 -1000.00 39.00 39.00 
3790 3790 29.96 0:00:02:06.304/600 0:00:02:06.284/600 306.39 294.13 190.31 120.41 -1000.00 -1000.00 40.00 40.00 
3791 3791 29.96 0:00:02:06.324/600 0:00:02:06.304/600 311.19 288.68 188.80 119.10 -1000.00 -1000.00 40.00 40.00 
3792 3792 29.96 0:00:02:06.344/600 0:00:02:06.324/600 315.44 282.59 187.42 117.63 -1000.00 -1000.00 39.00 40.00 
3793 3793 29.96 0:00:02:06.364/600 0:00:02:06.344/600 318.76 280.47 186.43 117.13 -1000.00 -1000.00 40.00 40.00 
3794 3794 29.96 0:00:02:06.384/600 0:00:02:06.364/600 319.87 280.97 186.13 117.25 -1000.00 -1000.00 40.00 40.00 
3795 3795 29.96 0:00:02:06.404/600 0:00:02:06.384/600 320.97 281.49 185.84 117.39 -1000.00 -1000.00 41.00 41.00 
3796 3796 29.96 0:00:02:06.425/600 0:00:02:06.404/600 322.10 282.25 185.55 117.58 -1000.00 -1000.00 39.00 37.00 
3797 3797 29.96 0:00:02:06.445/600 0:00:02:06.425/600 322.60 282.83 185.43 117.72 -1000.00 -1000.00 40.00 37.00 
3798 3798 29.96 0:00:02:06.465/600 0:00:02:06.445/600 323.04 283.10 185.32 117.79 -1000.00 -1000.00 40.00 38.00 
3799 3799 29.96 0:00:02:06.485/600 0:00:02:06.465/600 323.31 283.16 185.25 117.80 -1000.00 -1000.00 39.00 39.00 
3800 3800 29.96 0:00:02:06.505/600 0:00:02:06.485/600 322.24 278.47 185.39 116.66 -1000.00 -1000.00 39.00 38.00 
3801 3801 29.96 0:00:02:06.525/600 0:00:02:06.505/600 321.26 273.22 185.50 115.37 -1000.00 -1000.00 40.00 39.00 
